city_name,latitude,longitude,elevation_m,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,historical_rainfall_intensity_mm_hr,return_period_years,drainage_efficiency,rainfall_per_return_period,simplified_risks
"Auckland, New Zealand",-36.874419,174.887109,62.75,Residential,B,4.15,61.7,Manhole,56.2,5,0.06618819776714514,11.24,Low Risk
"Shenzhen, China",22.518045,114.052657,-3.0,Roads,C,9.45,49.8,CurbInlet,111.8,25,0.1860236220472441,4.4719999999999995,High Risk
"Amsterdam, Netherlands",52.477076,4.916432,3.67,Roads,C,5.32,69.6,CurbInlet,10.1,25,0.07535410764872522,0.40399999999999997,Medium Risk
"Singapore, Singapore",1.235723,103.753477,11.63,Industrial,B,10.28,274.9,OpenChannel,77.8,25,0.03725987676694455,3.112,Low Risk
"Rotterdam, Netherlands",51.92346,4.398333,1.87,Industrial,D,6.25,52.7,Manhole,43.6,5,0.11638733705772811,8.72,High Risk
"Manila, Philippines",14.62007,121.050932,23.82,Green,D,6.25,216.8,OpenChannel,73.1,25,0.02869605142332415,2.924,Low Risk
"Taipei, Taiwan",24.940458,121.604363,25.130000000000003,Residential,D,2.76,48.6,Manhole,49.9,25,0.05564516129032258,1.996,Medium Risk
"Osaka, Japan",34.564401,135.491588,8.8,Roads,C,4.68,88.8,GratedInlet,59.0,100,0.05211581291759465,0.59,Low Risk
"Accra, Ghana",5.492264,-0.166883,13.4,Residential,C,3.49,61.9,GratedInlet,150.0,100,0.05548489666136725,1.5,High Risk
"Lagos, Nigeria",6.662943,3.494447,27.26,Residential,A,3.83,126.0,OpenChannel,48.0,10,0.03015748031496063,4.8,Low Risk
"Athens, Greece",37.910108,23.689854,54.09,Industrial,D,8.38,409.6,OpenChannel,30.0,25,0.02040915733073551,1.2,Low Risk
"Tokyo, Japan",35.676908,139.715177,41.42,Green,C,4.2,139.8,GratedInlet,31.8,50,0.029829545454545452,0.636,Low Risk
"Copenhagen, Denmark",55.705705,12.593475,22.61,Industrial,C,9.35,27.3,GratedInlet,22.8,2,0.33038869257950526,11.4,Low Risk
"Karachi, Pakistan",24.836456,66.972998,83.99,Commercial,B,9.59,47.6,CurbInlet,58.0,10,0.19732510288065844,5.8,Low Risk
"Taipei, Taiwan",24.916641,121.583707,100.83,Commercial,B,4.28,74.7,Manhole,38.2,10,0.05653896961690885,3.8200000000000003,Low Risk
"Sao Paulo, Brazil",-23.464615,-46.611385,38.38,Commercial,C,7.45,34.5,OpenChannel,42.1,25,0.20985915492957746,1.6840000000000002,Low Risk
"Kolkata, India",22.539001,88.465002,85.38,Green,B,2.25,174.5,Manhole,57.0,2,0.01282051282051282,28.5,Medium Risk
"Cape Town, South Africa",-33.918674,18.451922,50.24,Residential,D,5.67,48.0,GratedInlet,18.2,5,0.11571428571428571,3.6399999999999997,Low Risk
"Delhi, India",28.635472,77.344476,76.8,Industrial,D,6.57,36.1,CurbInlet,62.2,2,0.177088948787062,31.1,Low Risk
"Hanoi, Vietnam",21.088588,105.857753,-3.0,Industrial,B,8.54,115.0,CurbInlet,32.6,5,0.0736206896551724,6.5200000000000005,Medium Risk
"Istanbul, Türkiye",40.957551,29.10837,24.83,Residential,C,6.25,18.5,Manhole,40.0,2,0.32051282051282054,20.0,Low Risk
"Osaka, Japan",34.74935,135.550278,-3.0,Green,D,2.67,292.1,CurbInlet,39.5,10,0.009109518935516887,3.95,High Risk
"Ahmedabad, India",22.868827,72.758322,35.78,Industrial,A,5.79,91.69999999999999,CurbInlet,24.6,2,0.06245954692556635,12.3,Low Risk
"Bogotá, Colombia",4.719281,-74.137331,-3.0,Residential,A,3.75,150.4,CurbInlet,24.7,25,0.02476882430647292,0.988,Medium Risk
"Vancouver, Canada",49.333262,-123.025642,13.1,Mixed,A,6.25,7.4,GratedInlet,61.9,2,0.7440476190476191,30.95,Low Risk
"Guangzhou, China",23.285744,113.283006,25.130000000000003,Residential,A,4.58,12.6,CurbInlet,75.2,10,0.33676470588235297,7.5200000000000005,Low Risk
"Tokyo, Japan",35.813078,139.651669,-0.71,Industrial,D,6.84,92.2,Manhole,34.9,5,0.07339055793991416,6.9799999999999995,High Risk
"Athens, Greece",37.961924,23.775224,25.130000000000003,Green,C,6.25,351.0,Manhole,54.4,10,0.01775568181818182,5.4399999999999995,Low Risk
"Cape Town, South Africa",-33.969035,18.322638,202.72,Industrial,D,7.12,162.6,CurbInlet,35.0,2,0.043520782396088024,17.5,Low Risk
"Singapore, Singapore",1.349995,103.856521,19.45,Residential,A,7.08,130.4,CurbInlet,65.6,10,0.053881278538812784,6.56,Low Risk
"Karachi, Pakistan",24.891112,67.095459,25.130000000000003,Industrial,B,4.92,400.0,CurbInlet,18.0,10,0.012269326683291771,1.8,Low Risk
"Ho Chi Minh City, Vietnam",10.801121,106.658887,10.88,Green,B,8.17,147.3,CurbInlet,70.5,100,0.05509103169251517,0.705,Low Risk
"Osaka, Japan",34.503467,135.566862,97.81,Commercial,D,10.51,91.69999999999999,OpenChannel,29.6,10,0.11337648327939591,2.96,Low Risk
"Houston, USA",29.734851,-95.367471,81.43,Mixed,B,3.79,30.3,Manhole,20.4,10,0.12108626198083067,2.04,Low Risk
"Karachi, Pakistan",24.845006,67.137882,230.96,Residential,C,4.31,170.9,Manhole,34.4,5,0.025072716695753342,6.88,Low Risk
"Rome, Italy",41.886342,12.522925,-3.0,Mixed,A,6.0,122.6,Manhole,18.2,2,0.04854368932038835,9.1,Medium Risk
"Rotterdam, Netherlands",51.925171,4.543845,8.06,Roads,A,8.28,114.2,OpenChannel,40.6,2,0.071875,20.3,Low Risk
"Mumbai, India",19.059062,72.939655,2.8,Residential,A,6.25,35.9,CurbInlet,57.3,5,0.16937669376693767,11.459999999999999,Medium Risk
"Accra, Ghana",5.653046,-0.213407,13.38,Residential,B,5.17,97.1,Manhole,61.7,5,0.0527013251783894,12.34,Low Risk
"Miami, USA",25.687468,-80.178397,7.89,Water,B,7.01,162.5,OpenChannel,53.8,10,0.04287461773700306,5.38,Medium Risk
"London, UK",51.648201,0.009707,50.63,Residential,B,5.2,96.8,CurbInlet,38.2,5,0.053169734151329244,7.640000000000001,Low Risk
"Rio de Janeiro, Brazil",-22.847835,-43.168922,3.53,Roads,A,4.43,33.8,Manhole,62.4,10,0.12729885057471266,6.24,Medium Risk
"Buenos Aires, Argentina",-34.684341,-58.387273,-3.0,Commercial,C,11.16,79.2,Manhole,24.6,50,0.13915211970074812,0.49200000000000005,Medium Risk
"Shanghai, China",31.340696,121.3909,16.21,Roads,B,8.98,92.5,CurbInlet,17.2,10,0.09604278074866311,1.72,Low Risk
"Accra, Ghana",5.713856,-0.155188,19.23,Roads,A,3.93,28.7,GratedInlet,93.6,50,0.13232323232323234,1.8719999999999999,High Risk
"Seoul, South Korea",37.624126,126.997375,48.6,Green,B,7.27,60.5,OpenChannel,54.8,2,0.11821138211382114,27.4,Low Risk
"Riyadh, Saudi Arabia",24.748862,46.707945,31.08,Roads,C,10.01,79.1,Manhole,14.6,2,0.12496878901373284,7.3,Low Risk
"Bogotá, Colombia",4.827368,-74.079459,86.14,Industrial,B,5.06,207.1,CurbInlet,37.8,2,0.02431523306102835,18.9,Low Risk
"Amsterdam, Netherlands",52.369307,4.893947,25.130000000000003,Residential,B,3.17,16.0,GratedInlet,34.8,5,0.1864705882352941,6.959999999999999,Low Risk
"Lima, Peru",-12.121319,-76.973366,-3.0,Roads,A,5.87,26.6,CurbInlet,49.7,50,0.21268115942028984,0.9940000000000001,Medium Risk
"Jakarta, Indonesia",-6.214388,106.7287,2.29,Commercial,B,7.71,91.69999999999999,CurbInlet,140.8,50,0.08317152103559872,2.8160000000000003,High Risk
"Vancouver, Canada",49.229423,-123.064892,0.54,Green,B,1.54,255.5,GratedInlet,23.1,50,0.006003898635477583,0.462,Medium Risk
"Auckland, New Zealand",-36.777294,174.72991,52.24,Institutional,B,5.86,80.8,Manhole,35.8,5,0.07163814180929096,7.159999999999999,Low Risk
"Seoul, South Korea",37.550299,127.093896,-3.0,Commercial,D,9.75,82.6,GratedInlet,49.7,10,0.11662679425837322,4.970000000000001,High Risk
"Chennai, India",13.158168,80.346084,10.05,Green,D,3.9,523.1,CurbInlet,103.8,25,0.007441327990841442,4.152,High Risk
"Auckland, New Zealand",-36.887958,174.707513,58.0,Mixed,C,8.37,52.6,GratedInlet,51.0,2,0.15615671641791043,25.5,Low Risk
"Philadelphia, USA",39.95512,-75.114547,38.1,Roads,A,8.24,17.4,Manhole,30.7,25,0.44782608695652176,1.228,Low Risk
"Ho Chi Minh City, Vietnam",10.766218,106.701474,9.42,Roads,B,10.36,121.9,CurbInlet,28.2,10,0.08429617575264442,2.82,Low Risk
"Ahmedabad, India",23.109766,72.510081,26.84,Roads,A,5.28,110.4,GratedInlet,28.4,25,0.0473967684021544,1.136,Low Risk
"Mexico City, Mexico",19.411528,-98.989933,8.49,Industrial,B,4.15,40.7,GratedInlet,16.9,50,0.09952038369304557,0.33799999999999997,Low Risk
"London, UK",51.606573,-0.061731,27.18,Roads,D,6.11,7.1,Manhole,59.8,10,0.7543209876543211,5.9799999999999995,Low Risk
"Osaka, Japan",34.727556,135.373805,-3.0,Residential,A,4.33,215.2,CurbInlet,13.6,10,0.020027752081406107,1.3599999999999999,Medium Risk
"Dubai, UAE",25.317464,55.26053,21.61,Roads,B,5.48,47.4,CurbInlet,30.4,2,0.11322314049586778,15.2,Low Risk
"Rio de Janeiro, Brazil",-22.959798,-43.216563,4.43,Commercial,A,3.18,164.7,CurbInlet,43.9,10,0.0191913095956548,4.39,Medium Risk
"Ho Chi Minh City, Vietnam",10.915452,106.656895,6.17,Residential,B,5.72,128.2,CurbInlet,95.8,25,0.04427244582043344,3.832,High Risk
"Shenzhen, China",22.416014,113.990211,4.77,Residential,B,6.08,112.2,GratedInlet,37.6,25,0.05371024734982332,1.504,Medium Risk
"Tokyo, Japan",35.730363,139.661608,88.18,Residential,D,5.71,91.69999999999999,GratedInlet,20.6,2,0.061596548004315,10.3,Low Risk
"Brisbane, Australia",-27.514029,152.932383,36.66,Residential,D,2.07,129.5,CurbInlet,28.5,10,0.01586206896551724,2.85,Medium Risk
"Paris, France",48.864973,2.399368,41.55,Roads,A,8.76,32.7,GratedInlet,7.0,5,0.2599406528189911,1.4,Low Risk
"Dubai, UAE",25.284412,55.322374,96.86,Residential,A,5.31,26.7,CurbInlet,28.8,25,0.19169675090252708,1.1520000000000001,Low Risk
"Seoul, South Korea",37.591389,126.960039,21.32,Residential,B,4.41,51.2,Manhole,35.5,10,0.08448275862068966,3.55,Low Risk
"Riyadh, Saudi Arabia",24.796394,46.658875,111.79,Roads,B,7.71,53.7,Manhole,21.5,10,0.1409506398537477,2.15,Low Risk
"Bengaluru, India",13.037432,77.493175,25.130000000000003,Green,B,4.83,112.9,Manhole,20.9,2,0.04240561896400351,10.45,Low Risk
"Vancouver, Canada",49.226887,-123.141713,2.14,Commercial,A,6.37,227.0,OpenChannel,25.8,5,0.02793859649122807,5.16,Medium Risk
"Washington DC, USA",39.025691,-77.044375,60.72,Roads,D,6.25,73.1,OpenChannel,14.5,2,0.08434547908232119,7.25,Low Risk
"Sao Paulo, Brazil",-23.53946,-46.609679,40.4,Industrial,D,6.19,91.69999999999999,CurbInlet,109.5,10,0.06677454153182309,10.95,High Risk
"Seoul, South Korea",37.55904,126.911568,55.37,Commercial,B,8.6,511.3,CurbInlet,43.7,5,0.016787038844427095,8.74,Low Risk
"Kolkata, India",22.529005,88.303404,32.44,Green,A,1.78,74.9,OpenChannel,67.3,10,0.023451910408432145,6.7299999999999995,Medium Risk
"Buenos Aires, Argentina",-34.576375,-58.36159,59.71,Commercial,B,5.04,58.0,Manhole,38.9,5,0.08542372881355932,7.779999999999999,Low Risk
"Tokyo, Japan",35.706335,139.638521,92.96,Residential,A,2.77,91.69999999999999,Manhole,23.5,10,0.029881337648327944,2.35,Medium Risk
"Chennai, India",13.100024,80.240578,8.26,Green,D,6.25,98.5,Manhole,42.0,5,0.06281407035175879,8.4,Low Risk
"Istanbul, Türkiye",41.029481,28.879465,74.66,Commercial,B,7.14,41.0,OpenChannel,46.5,10,0.16999999999999998,4.65,Low Risk
"New York, USA",40.721553,-73.90918,8.62,Green,C,4.78,91.69999999999999,Manhole,41.4,5,0.051564185544768076,8.28,Low Risk
"Athens, Greece",38.016074,23.719803,59.37,Residential,B,6.25,189.7,CurbInlet,15.9,10,0.03277399056109072,1.59,Low Risk
"Dhaka, Bangladesh",23.765604,90.299735,104.12,Residential,A,4.37,173.4,Manhole,81.2,50,0.025057339449541284,1.624,High Risk
"Buenos Aires, Argentina",-34.715362,-58.318522,13.39,Roads,D,4.34,48.8,GratedInlet,37.3,2,0.08714859437751005,18.65,Low Risk
"Taipei, Taiwan",24.979429,121.44545,115.02,Roads,A,7.56,55.7,Manhole,61.7,10,0.13333333333333333,6.17,Low Risk
"Kuala Lumpur, Malaysia",3.106396,101.66905,21.13,Green,C,6.78,78.4,GratedInlet,42.7,5,0.0853904282115869,8.540000000000001,Low Risk
"Doha, Qatar",25.274993,51.57755,7.68,Green,D,2.28,149.3,OpenChannel,17.5,2,0.015169660678642713,8.75,Medium Risk
"Seoul, South Korea",37.562224,126.881014,49.71,Roads,C,6.44,12.9,OpenChannel,82.0,25,0.4633093525179856,3.28,High Risk
"Guangzhou, China",23.12453,113.428776,10.34,Residential,B,4.27,202.0,OpenChannel,48.1,10,0.021034482758620687,4.8100000000000005,Low Risk
"Auckland, New Zealand",-36.937066,174.75811,83.5,Institutional,B,7.31,91.69999999999999,GratedInlet,30.2,2,0.07885652642934197,15.1,Low Risk
"Miami, USA",25.800998,-80.113941,7.22,Commercial,B,7.95,64.3,OpenChannel,61.8,5,0.12174578866768761,12.36,Medium Risk
"Philadelphia, USA",39.989085,-75.233734,61.93,Roads,B,5.75,57.9,CurbInlet,33.6,2,0.09762308998302208,16.8,Low Risk
"Rome, Italy",41.799145,12.562069,119.8,Water,B,5.05,371.9,Manhole,36.0,2,0.01354250469294717,18.0,Low Risk
"Rotterdam, Netherlands",51.920018,4.585554,-3.0,Industrial,B,6.25,91.69999999999999,CurbInlet,10.8,10,0.06742179072276161,1.08,Medium Risk
"New Orleans, USA",29.972918,-89.890887,-2.2,Green,D,3.73,110.3,Manhole,62.6,2,0.03351302785265049,31.3,High Risk
"Chennai, India",13.050758,80.290913,17.82,Water,D,6.25,181.7,OpenChannel,63.7,10,0.034209085933223866,6.37,Low Risk
"New York, USA",40.794321,-74.021741,75.91,Residential,D,5.86,66.7,CurbInlet,33.9,2,0.08655834564254063,16.95,Low Risk
"Bengaluru, India",12.95821,77.647817,69.99,Residential,B,6.99,160.8,OpenChannel,25.4,2,0.04320148331273176,12.7,Low Risk
"Delhi, India",28.496687,77.09244,61.12,Commercial,A,9.74,91.69999999999999,GratedInlet,18.8,5,0.10507011866235169,3.7600000000000002,Low Risk
"New York, USA",40.71672,-73.861444,58.78,Industrial,D,8.11,133.6,OpenChannel,32.9,5,0.06025260029717682,6.58,Low Risk
"Amsterdam, Netherlands",52.427907,4.939044,10.62,Industrial,C,5.63,91.69999999999999,Manhole,37.3,5,0.06073354908306365,7.459999999999999,Low Risk
"Barcelona, Spain",41.332087,2.167525,1.11,Green,A,6.25,351.6,GratedInlet,62.9,2,0.01772546795235394,31.45,Medium Risk
"Singapore, Singapore",1.483285,103.900062,11.06,Commercial,C,10.0,56.9,Manhole,144.7,25,0.17271157167530224,5.787999999999999,High Risk
"Manila, Philippines",14.566038,120.852999,3.15,Commercial,A,6.33,97.0,Manhole,31.9,10,0.06459183673469387,3.19,Medium Risk
"Dubai, UAE",25.184891,55.225678,123.34,Green,B,6.46,91.69999999999999,OpenChannel,25.3,5,0.0696871628910464,5.0600000000000005,Low Risk
"Paris, France",48.836778,2.310792,77.21,Residential,B,2.79,156.2,CurbInlet,56.0,25,0.017748091603053438,2.24,Medium Risk
"Paris, France",48.922826,2.352367,79.62,Industrial,C,9.19,240.0,CurbInlet,16.2,10,0.03813278008298755,1.6199999999999999,Low Risk
"Rio de Janeiro, Brazil",-22.950281,-43.215423,6.64,Roads,B,7.96,406.7,CurbInlet,35.4,2,0.019524159921510915,17.7,Medium Risk
"Lagos, Nigeria",6.654152,3.309417,9.39,Residential,D,7.34,91.69999999999999,GratedInlet,92.6,100,0.07918015102481123,0.9259999999999999,High Risk
"Karachi, Pakistan",24.790519,67.083915,27.84,Residential,A,8.56,282.5,OpenChannel,44.9,2,0.030194003527336862,22.45,Low Risk
"Barcelona, Spain",41.384355,2.196118,20.01,Commercial,A,6.25,91.69999999999999,OpenChannel,51.6,2,0.06742179072276161,25.8,Low Risk
"Seoul, South Korea",37.646547,127.056846,48.99,Roads,B,5.44,181.7,CurbInlet,43.4,50,0.029775588396278054,0.868,Low Risk
"Tehran, Iran",35.69927,51.368767,23.53,Green,B,6.25,78.8,CurbInlet,25.5,10,0.07832080200501254,2.55,Low Risk
"Barcelona, Spain",41.354655,2.116044,3.97,Industrial,D,8.4,134.8,CurbInlet,63.2,10,0.06185567010309278,6.32,High Risk
"Seoul, South Korea",37.451059,127.095087,27.41,Mixed,B,5.57,92.1,Manhole,19.8,2,0.05982814178302901,9.9,Low Risk
"Barcelona, Spain",41.33393,2.079141,11.55,Residential,D,2.68,91.69999999999999,GratedInlet,36.8,2,0.02891046386192018,18.4,Medium Risk
"Hyderabad, India",17.395219,78.467234,-3.0,Green,B,5.98,317.8,CurbInlet,67.3,25,0.01875784190715182,2.6919999999999997,Medium Risk
"Paris, France",48.785642,2.295906,0.91,Roads,C,4.14,212.8,OpenChannel,19.2,5,0.019363891487371374,3.84,Medium Risk
"Pune, India",18.557733,73.835559,18.49,Residential,B,7.4,21.9,CurbInlet,34.7,50,0.3231441048034935,0.6940000000000001,Low Risk
"Hanoi, Vietnam",21.155727,105.927384,95.78,Roads,C,10.3,84.3,CurbInlet,58.2,2,0.12075029308323565,29.1,Low Risk
"Hong Kong, China",22.385708,114.091498,19.32,Residential,D,3.69,84.0,GratedInlet,59.5,2,0.04341176470588235,29.75,Low Risk
"Miami, USA",25.687676,-80.224335,24.24,Industrial,B,6.25,146.8,CurbInlet,48.1,10,0.042286874154262515,4.8100000000000005,Low Risk
"Nairobi, Kenya",-1.266473,36.854011,40.6,Industrial,C,6.25,102.2,CurbInlet,18.3,2,0.060562015503875966,9.15,Low Risk
"Karachi, Pakistan",24.743924,67.064448,76.74,Green,C,1.93,181.7,CurbInlet,36.9,2,0.01056376573617953,18.45,Medium Risk
"Athens, Greece",37.928723,23.771009,79.46,Residential,A,6.72,151.7,GratedInlet,44.0,50,0.04400785854616896,0.88,Low Risk
"Tokyo, Japan",35.697292,139.727487,-3.0,Industrial,B,8.85,119.6,GratedInlet,24.5,25,0.07338308457711443,0.98,Medium Risk
"Dubai, UAE",25.165849,55.274383,52.63,Commercial,B,6.32,21.2,GratedInlet,28.7,2,0.2846846846846847,14.35,Low Risk
"Ahmedabad, India",23.033187,72.516645,57.11,Residential,B,6.74,4.4,GratedInlet,85.7,10,1.248148148148148,8.57,High Risk
"London, UK",51.606119,-0.199949,4.53,Commercial,B,5.29,77.2,GratedInlet,29.1,5,0.06764705882352941,5.82,Medium Risk
"New York, USA",40.724905,-73.955546,18.97,Roads,B,6.25,38.3,Manhole,18.7,10,0.15903307888040713,1.8699999999999999,Low Risk
"Rotterdam, Netherlands",51.918612,4.556792,14.91,Commercial,D,7.79,322.1,CurbInlet,21.3,2,0.02411018260600433,10.65,Low Risk
"Shenzhen, China",22.412241,114.007163,20.16,Water,A,6.92,174.4,CurbInlet,45.3,100,0.03945267958950969,0.45299999999999996,Low Risk
"Rotterdam, Netherlands",51.806263,4.414151,11.25,Residential,A,7.23,2.9,CurbInlet,16.9,10,1.853846153846154,1.69,Low Risk
"Amsterdam, Netherlands",52.298764,4.857421,8.56,Commercial,C,8.19,206.2,OpenChannel,25.9,10,0.039527027027027026,2.59,Low Risk
"Istanbul, Türkiye",41.027308,29.009141,-1.13,Commercial,A,5.62,62.5,Manhole,55.2,5,0.08850393700787401,11.040000000000001,Medium Risk
"Lagos, Nigeria",6.474107,3.442357,12.03,Roads,B,5.15,29.0,Manhole,77.9,10,0.1716666666666667,7.790000000000001,Low Risk
"Seoul, South Korea",37.492462,126.990787,8.83,Green,C,6.0,176.6,Manhole,22.4,25,0.033783783783783786,0.8959999999999999,Low Risk
"Bengaluru, India",12.961648,77.58493,117.67,Commercial,A,6.25,62.0,Manhole,17.7,100,0.0992063492063492,0.177,Low Risk
"Tokyo, Japan",35.680356,139.662405,25.55,Industrial,A,6.25,127.8,GratedInlet,39.1,2,0.04852484472049689,19.55,Low Risk
"London, UK",51.497118,-0.041803,81.24,Commercial,D,7.93,50.7,GratedInlet,44.7,2,0.15338491295938103,22.35,Low Risk
"Ho Chi Minh City, Vietnam",10.92502,106.675929,-3.0,Commercial,A,8.67,148.9,CurbInlet,64.4,10,0.05783855903935957,6.44,Medium Risk
"Athens, Greece",37.892256,23.797698,50.78,Roads,C,6.32,82.2,CurbInlet,28.4,5,0.07596153846153847,5.68,Low Risk
"Dubai, UAE",25.244772,55.186025,93.3,Roads,D,9.06,9.3,CurbInlet,18.3,2,0.8796116504854369,9.15,Low Risk
"Durban, South Africa",-29.923792,30.997219,24.4,Commercial,C,9.62,160.7,Manhole,40.5,5,0.059492888064316636,8.1,Low Risk
"Tokyo, Japan",35.57812,139.625853,11.01,Green,B,6.59,302.2,CurbInlet,32.2,10,0.021734828496042215,3.22,Low Risk
"Vancouver, Canada",49.238915,-123.121716,12.72,Commercial,A,8.43,125.6,CurbInlet,24.9,2,0.06658767772511849,12.45,Low Risk
"Ahmedabad, India",23.03801,72.5872,35.42,Residential,D,7.53,265.5,OpenChannel,28.9,50,0.028255159474671672,0.578,Low Risk
"Rio de Janeiro, Brazil",-22.858851,-43.25054,21.91,Roads,B,8.14,34.7,Manhole,150.0,100,0.2280112044817927,1.5,High Risk
"Rio de Janeiro, Brazil",-22.994501,-43.101616,25.130000000000003,Residential,C,6.0,26.9,GratedInlet,62.9,5,0.21505376344086022,12.58,Low Risk
"Montreal, Canada",45.500057,-73.586596,76.27,Commercial,B,11.15,381.2,OpenChannel,39.1,2,0.029173207744636317,19.55,Low Risk
"San Francisco, USA",37.826049,-122.328795,21.89,Commercial,C,6.25,65.5,GratedInlet,20.2,10,0.09398496240601503,2.02,Low Risk
"Seoul, South Korea",37.567798,126.956861,38.8,Roads,B,9.36,117.5,Manhole,44.4,50,0.0789873417721519,0.888,Low Risk
"Bengaluru, India",13.01005,77.555386,6.65,Residential,B,4.07,231.1,CurbInlet,36.3,10,0.017535545023696683,3.63,Medium Risk
"Taipei, Taiwan",24.986882,121.53115,-3.0,Green,A,4.33,301.6,GratedInlet,48.0,50,0.014309319233311302,0.96,Medium Risk
"Dhaka, Bangladesh",23.888506,90.339194,108.82,Residential,A,7.67,110.0,CurbInlet,51.4,5,0.0690990990990991,10.28,Low Risk
"Mexico City, Mexico",19.483605,-99.14579,26.43,Residential,B,3.09,25.3,Manhole,25.0,50,0.11749049429657794,0.5,Low Risk
"Sydney, Australia",-33.846433,151.259898,-3.0,Roads,C,6.66,35.4,GratedInlet,15.0,5,0.18296703296703298,3.0,Medium Risk
"Rio de Janeiro, Brazil",-22.856211,-43.220677,10.5,Industrial,B,10.04,62.0,Manhole,57.3,2,0.15936507936507935,28.65,Low Risk
"Montreal, Canada",45.428028,-73.548254,25.130000000000003,Commercial,A,10.81,393.7,CurbInlet,44.0,50,0.02738788953635673,0.88,Low Risk
"Houston, USA",29.793072,-95.403405,7.35,Industrial,B,4.24,81.2,Manhole,35.1,5,0.05158150851581508,7.0200000000000005,Medium Risk
"Philadelphia, USA",39.945637,-75.086163,-3.0,Green,B,7.22,183.6,GratedInlet,27.8,25,0.03911159263271939,1.112,Medium Risk
"Nairobi, Kenya",-1.280229,36.861153,25.94,Residential,C,7.23,135.9,Manhole,37.6,10,0.05281227173119065,3.7600000000000002,Low Risk
"Manila, Philippines",14.560454,121.091822,18.38,Commercial,D,3.89,35.9,CurbInlet,35.2,5,0.10542005420054201,7.040000000000001,Low Risk
"Rotterdam, Netherlands",52.076691,4.345768,19.02,Residential,C,4.89,52.2,Manhole,19.3,10,0.09191729323308269,1.9300000000000002,Low Risk
"Karachi, Pakistan",24.898027,67.033468,68.19,Residential,C,5.26,91.69999999999999,CurbInlet,101.1,10,0.05674217907227616,10.11,High Risk
"Istanbul, Türkiye",41.092732,28.96912,19.92,Commercial,A,9.1,383.5,OpenChannel,21.8,5,0.02366710013003901,4.36,Low Risk
"Sydney, Australia",-33.840815,151.110503,-3.0,Residential,A,5.03,107.4,CurbInlet,49.0,2,0.046402214022140224,24.5,Medium Risk
"Sao Paulo, Brazil",-23.384985,-46.642727,33.91,Residential,D,5.54,82.5,CurbInlet,49.9,100,0.06634730538922155,0.499,Low Risk
"Lagos, Nigeria",6.457921,3.376924,7.31,Residential,D,5.81,97.0,CurbInlet,55.9,25,0.05928571428571428,2.2359999999999998,Medium Risk
"Istanbul, Türkiye",40.962648,28.919203,47.04,Roads,B,6.42,46.2,GratedInlet,38.0,2,0.13601694915254237,19.0,Low Risk
"Athens, Greece",37.917748,23.724886,30.24,Residential,D,4.82,101.5,GratedInlet,48.2,10,0.04702439024390244,4.82,Low Risk
"Dubai, UAE",25.105064,55.18167,101.45,Green,B,4.06,56.2,GratedInlet,11.8,10,0.07097902097902097,1.1800000000000002,Low Risk
"Bengaluru, India",13.070386,77.600701,25.130000000000003,Commercial,A,6.22,484.6,OpenChannel,44.5,10,0.012808896210873146,4.45,Low Risk
"Miami, USA",25.797083,-80.288222,5.77,Residential,B,6.25,5.5,GratedInlet,50.2,5,0.9615384615384616,10.040000000000001,Medium Risk
"Nairobi, Kenya",-1.335747,36.862613,39.74,Commercial,D,7.35,91.69999999999999,Manhole,42.1,2,0.07928802588996764,21.05,Low Risk
"Bogotá, Colombia",4.711807,-74.191855,118.92,Commercial,B,7.59,118.1,OpenChannel,42.9,100,0.063727959697733,0.429,Low Risk
"Guangzhou, China",23.042909,113.261943,21.52,Residential,A,6.51,74.1,CurbInlet,77.3,100,0.0866844207723036,0.773,Low Risk
"Mexico City, Mexico",19.37845,-99.131296,17.01,Residential,B,4.23,53.8,CurbInlet,25.0,25,0.07718978102189782,1.0,Low Risk
"Delhi, India",28.607774,77.191759,38.63,Residential,B,6.19,41.6,GratedInlet,19.0,50,0.14530516431924884,0.38,Low Risk
"Durban, South Africa",-29.848912,31.088916,31.31,Residential,B,6.61,95.0,GratedInlet,28.1,25,0.06885416666666667,1.124,Low Risk
"Tokyo, Japan",35.584399,139.665241,9.44,Roads,D,4.07,116.1,CurbInlet,68.9,5,0.034756618274978654,13.780000000000001,High Risk
"Mumbai, India",19.137518,72.867525,14.39,Commercial,A,6.25,90.4,CurbInlet,100.3,25,0.06838074398249452,4.012,High Risk
"Kuala Lumpur, Malaysia",3.068678,101.755229,106.68,Mixed,B,6.3,104.5,GratedInlet,46.0,5,0.05971563981042654,9.2,Low Risk
"Tehran, Iran",35.646003,51.342766,104.22,Industrial,D,9.67,70.6,CurbInlet,41.8,50,0.13505586592178773,0.836,Low Risk
"Athens, Greece",38.022791,23.833288,66.16,Commercial,B,7.54,142.5,CurbInlet,22.4,25,0.05254355400696864,0.8959999999999999,Low Risk
"Vancouver, Canada",49.264808,-123.165397,9.63,Residential,B,2.52,210.3,OpenChannel,30.6,2,0.011926171320397538,15.3,Medium Risk
"Jakarta, Indonesia",-6.056781,106.821514,-3.0,Residential,B,8.22,0.7,Manhole,57.1,2,4.835294117647059,28.55,Medium Risk
